LogRounds, Hash-Tput, Hash-Latency
10,9.523809,105
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,13.69863,73
10,14.492754,69
10,14.492754,69
10,13.157895,76
10,14.492754,69
10,14.705882,68
10,14.925373,67
10,14.705882,68
10,14.285714,70
10,14.705882,68
10,14.492754,69
10,14.285714,70
10,14.925373,67
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.925373,67
10,14.705882,68
10,14.705882,68
10,14.925373,67
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.925373,67
10,14.925373,67
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.925373,67
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,13.888889,72
10,14.705882,68
10,14.705882,68
10,14.705882,68
10,12.820513,78
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,14.285714,70
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,14.285714,70
10,14.705882,68
10,14.285714,70
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,13.888889,72
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.285714,70
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.285714,70
10,14.492754,69
10,11.904762,84
10,14.492754,69
10,14.925373,67
10,14.925373,67
10,14.492754,69
10,14.705882,68
10,14.705882,68
10,14.925373,67
10,14.705882,68
10,14.705882,68
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.492754,69
10,14.285714,70
10,14.285714,70
10,14.705882,68
10,13.888889,72
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,14.492754,69
10,14.705882,68
10,13.513514,74
10,12.987013,77
10,14.285714,70
